metric,stop_mode,SSE,accuracy,n_iter,fit_time_sec,question
euclidean,combo,17037925.724610753,0.6022,14,1.5461711883544922,Q1/Q3 (combined stop)
cosine,combo,695.7314315454415,0.6355,53,5.943079471588135,Q1/Q3 (combined stop)
jaccard,combo,3676.5785487376907,0.6068,25,11.63461446762085,Q1/Q3 (combined stop)
euclidean,combo,17037925.724610753,0.6022,14,1.5461711883544922,Q2 (accuracy w/ majority vote)
cosine,combo,695.7314315454415,0.6355,53,5.943079471588135,Q2 (accuracy w/ majority vote)
jaccard,combo,3676.5785487376907,0.6068,25,11.63461446762085,Q2 (accuracy w/ majority vote)
euclidean,steady,17039156.69491407,0.6021,500,58.564573526382446,Q4 (steady)
cosine,steady,695.7326317055424,0.6354,500,56.0930016040802,Q4 (steady)
jaccard,steady,3676.7435040776663,0.6079,500,236.24196672439575,Q4 (steady)
euclidean,worse,17037925.724610753,0.6022,14,1.5129737854003906,Q4 (worse)
cosine,worse,695.7314315454415,0.6355,53,5.858477354049683,Q4 (worse)
jaccard,worse,3676.5785487376907,0.6068,25,12.21212911605835,Q4 (worse)
euclidean,cap,17039156.69491407,0.6021,100,10.962624788284302,Q4 (cap)
cosine,cap,695.7326317055424,0.6354,100,11.341825723648071,Q4 (cap)
jaccard,cap,3676.7435040776663,0.6079,100,47.46970844268799,Q4 (cap)
